,target,source,freeze,fold,AUC,mean,std
60,breast,ImageNet,freezeFalse,fold1,89.82873851294904,90.5,3.83
62,breast,ImageNet,freezeFalse,fold2,95.65580618212196,90.5,3.83
64,breast,ImageNet,freezeFalse,fold3,92.60651629072683,90.5,3.83
66,breast,ImageNet,freezeFalse,fold4,89.13951545530493,90.5,3.83
68,breast,ImageNet,freezeFalse,fold5,85.46365914786968,90.5,3.83
70,breast,ImageNet,freezeTrue,fold1,86.19465329991645,89.8,3.03
72,breast,ImageNet,freezeTrue,fold2,91.79197994987469,89.8,3.03
74,breast,ImageNet,freezeTrue,fold3,92.69005847953215,89.8,3.03
76,breast,ImageNet,freezeTrue,fold4,91.47869674185463,89.8,3.03
78,breast,ImageNet,freezeTrue,fold5,86.86299081035924,89.8,3.03
61,breast,RadImageNet,freezeFalse,fold1,88.11612364243943,88.2,4.24
63,breast,RadImageNet,freezeFalse,fold2,81.85045948203843,88.2,4.24
65,breast,RadImageNet,freezeFalse,fold3,93.75522138680033,88.2,4.24
67,breast,RadImageNet,freezeFalse,fold4,88.57560568086885,88.2,4.24
69,breast,RadImageNet,freezeFalse,fold5,88.95154553049291,88.2,4.24
71,breast,RadImageNet,freezeTrue,fold1,86.98830409356725,72.4,22.1
73,breast,RadImageNet,freezeTrue,fold2,56.49540517961571,72.4,22.1
75,breast,RadImageNet,freezeTrue,fold3,94.79949874686716,72.4,22.1
77,breast,RadImageNet,freezeTrue,fold4,42.29323308270676,72.4,22.1
79,breast,RadImageNet,freezeTrue,fold5,81.28654970760233,72.4,22.1
145,breast,random,freezeFalse,fold1,49.66583124477861,51.2,9.99
146,breast,random,freezeFalse,fold2,45.23809523809523,51.2,9.99
147,breast,random,freezeFalse,fold3,39.0142021720969,51.2,9.99
148,breast,random,freezeFalse,fold4,64.22305764411028,51.2,9.99
149,breast,random,freezeFalse,fold5,57.748538011695906,51.2,9.99
40,chest,ImageNet,freezeFalse,fold1,99.23607767613544,98.7,0.39
42,chest,ImageNet,freezeFalse,fold2,98.5247693054881,98.7,0.39
44,chest,ImageNet,freezeFalse,fold3,98.99759422614274,98.7,0.39
46,chest,ImageNet,freezeFalse,fold4,98.57150381484102,98.7,0.39
48,chest,ImageNet,freezeFalse,fold5,98.27959753231492,98.7,0.39
50,chest,ImageNet,freezeTrue,fold1,99.05847108543304,98.6,0.58
52,chest,ImageNet,freezeTrue,fold2,98.7493929091792,98.6,0.58
54,chest,ImageNet,freezeTrue,fold3,98.74479703669759,98.6,0.58
56,chest,ImageNet,freezeTrue,fold4,98.6809829799401,98.6,0.58
58,chest,ImageNet,freezeTrue,fold5,97.54994124559344,98.6,0.58
41,chest,RadImageNet,freezeFalse,fold1,98.57130120009272,98.8,0.17
43,chest,RadImageNet,freezeFalse,fold2,98.95359618526204,98.8,0.17
45,chest,RadImageNet,freezeFalse,fold3,98.86394012296178,98.8,0.17
47,chest,RadImageNet,freezeFalse,fold4,98.97518472257754,98.8,0.17
49,chest,RadImageNet,freezeFalse,fold5,98.69822267920092,98.8,0.17
51,chest,RadImageNet,freezeTrue,fold1,98.86624226537563,98.7,0.3
53,chest,RadImageNet,freezeTrue,fold2,99.00032378177109,98.7,0.3
55,chest,RadImageNet,freezeTrue,fold3,98.66727765685263,98.7,0.3
57,chest,RadImageNet,freezeTrue,fold4,98.78519510616846,98.7,0.3
59,chest,RadImageNet,freezeTrue,fold5,98.22341363102231,98.7,0.3
150,chest,random,freezeFalse,fold1,82.54319798855185,82.5,0.97
151,chest,random,freezeFalse,fold2,82.05329153605017,82.5,0.97
152,chest,random,freezeFalse,fold3,81.48146026654447,82.5,0.97
153,chest,random,freezeFalse,fold4,84.0593068576846,82.5,0.97
154,chest,random,freezeFalse,fold5,82.25378231492361,82.5,0.97
0,isic,ImageNet,freezeFalse,fold1,95.27204719209004,94.2,1.32
2,isic,ImageNet,freezeFalse,fold2,92.88132584356345,94.2,1.32
4,isic,ImageNet,freezeFalse,fold3,94.98820022878276,94.2,1.32
6,isic,ImageNet,freezeFalse,fold4,95.1688903343636,94.2,1.32
8,isic,ImageNet,freezeFalse,fold5,92.62826390309235,94.2,1.32
10,isic,ImageNet,freezeTrue,fold1,95.00404875092346,93.1,2.34
12,isic,ImageNet,freezeTrue,fold2,90.22113299927051,93.1,2.34
