model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
chest-RadImageNet-freezeFalse,RadImageNet,fold1,chest,0.8502624521413142,0.41058079664390945,0.3348926620730367,0.3365961827368608,0.35183100477310264
chest-RadImageNet-freezeFalse,RadImageNet,fold2,chest,0.8588509838520444,0.42642190554168985,0.32924212914945994,0.33370124008239005,0.3490096127957067
chest-RadImageNet-freezeFalse,RadImageNet,fold3,chest,0.8411335511424053,0.42074443660477295,0.32687270458310863,0.33573973431567744,0.34099515525096935
chest-RadImageNet-freezeFalse,RadImageNet,fold4,chest,0.8588371802927874,0.4222900644361701,0.329457923623589,0.3397476866793033,0.3333006228676172
chest-RadImageNet-freezeFalse,RadImageNet,fold5,chest,0.8499857123560538,0.4223298465609776,0.3264454136041718,0.3359925073692812,0.3451000312277332
chest-ImageNet-freezeFalse,ImageNet,fold1,chest,0.9166052353825502,0.8710858994899147,0.7236103270886034,0.45071692858794643,0.23895923383510617
chest-ImageNet-freezeFalse,ImageNet,fold2,chest,0.9220871620391582,0.8714835290396366,0.725404462403184,0.43719891480974926,0.22144265769379384
chest-ImageNet-freezeFalse,ImageNet,fold3,chest,0.9204456570844013,0.8744652385448989,0.7256406455191203,0.4364437290257726,0.22221523130197546
chest-ImageNet-freezeFalse,ImageNet,fold4,chest,0.9199814804058889,0.8717934454186997,0.7247861434408684,0.4441354032263868,0.22262760143905638
chest-ImageNet-freezeFalse,ImageNet,fold5,chest,0.917752508452421,0.8724954146069,0.723435663408746,0.43143271485814016,0.22365125203801145
chest-ImageNet-freezeFalse,chest-RadImageNet-freezeFalse,fold1,chest,0.5534499823323872,0.38577569932972966,0.31315542989944245,0.22361244239925648,0.16755171317808726
chest-ImageNet-freezeFalse,chest-RadImageNet-freezeFalse,fold2,chest,0.5460242437102819,0.3835286507937659,0.31423111544830873,0.2277076920129339,0.15674119186553798
