model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
isic-RadImageNet-freezeFalse,RadImageNet,fold1,isic,0.6258317223530773,0.4623601232422786,0.3382627504419167,0.2819636712201429,0.2927385468724107
isic-RadImageNet-freezeFalse,RadImageNet,fold2,isic,0.6535745606563241,0.4707553723115393,0.34120909582168146,0.28064738598885375,0.33489938445092143
isic-RadImageNet-freezeFalse,RadImageNet,fold3,isic,0.6170064424693914,0.4511156508475572,0.34514439096095334,0.27673789834653206,0.32689517288813696
isic-RadImageNet-freezeFalse,RadImageNet,fold4,isic,0.6270228153232258,0.4604351109025265,0.3435899089017401,0.2786122758910086,0.3356551794147048
isic-RadImageNet-freezeFalse,RadImageNet,fold5,isic,0.6257257407093603,0.4621831506585131,0.3442716156133502,0.28519882644114747,0.32360028598184076
isic-ImageNet-freezeFalse,ImageNet,fold1,isic,0.8305635927040962,0.8062611139139196,0.7227651714105414,0.47693690235098385,0.24146678439939903
isic-ImageNet-freezeFalse,ImageNet,fold2,isic,0.8342023307429749,0.8085695478884463,0.7326529927823291,0.4823848501180166,0.22999280283663565
isic-ImageNet-freezeFalse,ImageNet,fold3,isic,0.832252372224413,0.8114005568403215,0.7280457609340791,0.4798232775721204,0.22782569468934905
isic-ImageNet-freezeFalse,ImageNet,fold4,isic,0.8223472012128823,0.8042472640392969,0.7321977705310436,0.48892158647801287,0.23614812622629738
isic-ImageNet-freezeFalse,ImageNet,fold5,isic,0.8440438140365968,0.812316857629128,0.7269680886340604,0.477764705426842,0.22413158375322198
isic-ImageNet-freezeFalse,isic-RadImageNet-freezeFalse,fold1,isic,0.545660344999043,0.3596394278649665,0.2767788473914558,0.2141853628630339,0.17605065440190332
isic-ImageNet-freezeFalse,isic-RadImageNet-freezeFalse,fold2,isic,0.5505543496337019,0.3641250990861523,0.2737460153968754,0.21253181864731943,0.1710729333646384
isic-ImageNet-freezeFalse,isic-RadImageNet-freezeFalse,fold3,isic,0.5667274278108152,0.3617906258763848,0.27448554321602475,0.21480682759177477,0.1751183677997485
isic-ImageNet-freezeFalse,isic-RadImageNet-freezeFalse,fold4,isic,0.563593972651032,0.35820489472858663,0.272690737270039,0.21599510458274224,0.17318279572577788
isic-ImageNet-freezeFalse,isic-RadImageNet-freezeFalse,fold5,isic,0.5621709062080824,0.3566505415137936,0.2727630859932944,0.20948030084221161,0.1683022390832885
ImageNet,RadImageNet,fold1,isic,0.5583642320249668,0.3620333435844723,0.2919956928974588,0.263290488045804,0.20008723314421367
ImageNet,RadImageNet,fold2,isic,0.565668464204448,0.3591491651712252,0.28722749957721555,0.262725946983162,0.19978857089364802
ImageNet,RadImageNet,fold3,isic,0.5657203494823604,0.35561063221594524,0.2858743235586763,0.2572547011105558,0.20523294258515296
ImageNet,RadImageNet,fold4,isic,0.5670140147813589,0.348318026948483,0.28721245698932224,0.2530263937937441,0.2020235363915138
ImageNet,RadImageNet,fold5,isic,0.5425514808824501,0.35326293851125695,0.2856450369285811,0.26131808831019515,0.19706329213572013
isic-ImageNet-freezeFalse,random,fold1,isic,0.5678297429550548,0.33570893796143614,0.27648677365121593,0.23568532466881123,0.17073306581228684
