model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
knee-RadImageNet-freezeFalse,RadImageNet,fold1,knee,0.6768949097793748,0.3940414117647286,0.32841754699831616,0.32049171298364565,0.3718266138447065
knee-RadImageNet-freezeFalse,RadImageNet,fold2,knee,0.6645059333480956,0.39712441366081197,0.33552555626011155,0.32643487935440707,0.37727748720096077
knee-RadImageNet-freezeFalse,RadImageNet,fold3,knee,0.6666623832238472,0.3952014607583806,0.33752437145663305,0.33108038034355813,0.408742071392605
knee-RadImageNet-freezeFalse,RadImageNet,fold4,knee,0.6572014274310781,0.4000538248032347,0.3408218268856704,0.3305339750399264,0.39014569784752806
knee-RadImageNet-freezeFalse,RadImageNet,fold5,knee,0.662467850624763,0.3986198168859086,0.337275985606735,0.32676254588873876,0.4169836064836628
knee-ImageNet-freezeFalse,ImageNet,fold1,knee,0.8642736499304942,0.8313759069265727,0.726044746219204,0.536263235173216,0.26519653048681346
knee-ImageNet-freezeFalse,ImageNet,fold2,knee,0.860718513315992,0.8267400222904417,0.7106694980448628,0.5127273183107838,0.25021207506914356
knee-ImageNet-freezeFalse,ImageNet,fold3,knee,0.8671912250078095,0.833033794640999,0.7257681187930266,0.5399695363079704,0.25728191404863215
knee-ImageNet-freezeFalse,ImageNet,fold4,knee,0.8634066794180668,0.834911780409017,0.7278561898605078,0.532246780098582,0.2519522557738883
knee-ImageNet-freezeFalse,ImageNet,fold5,knee,0.8666648337159207,0.8353366389536969,0.7260980737107225,0.5308363249591955,0.2528176778025766
knee-ImageNet-freezeFalse,knee-RadImageNet-freezeFalse,fold1,knee,0.5758828514164914,0.38418019557225724,0.3028910341996644,0.22171217001636578,0.1632900199080583
knee-ImageNet-freezeFalse,knee-RadImageNet-freezeFalse,fold2,knee,0.5711719366337725,0.38922928655367733,0.30380131049938697,0.22689138408893558,0.1680558511017159
knee-ImageNet-freezeFalse,knee-RadImageNet-freezeFalse,fold3,knee,0.5730986811550717,0.3877864875217171,0.30296376695663796,0.23184430114978455,0.16576018408771534
knee-ImageNet-freezeFalse,knee-RadImageNet-freezeFalse,fold4,knee,0.571126413546664,0.3863312917721839,0.3025321268105369,0.23369457968783255,0.16476390165818064
knee-ImageNet-freezeFalse,knee-RadImageNet-freezeFalse,fold5,knee,0.5720694638372124,0.38784573760956853,0.30278838854464424,0.23007760339090227,0.16502122782520684
ImageNet,RadImageNet,fold1,knee,0.5639337447604202,0.3531970809903095,0.3429885297250105,0.32395338920450384,0.28426742264635274
ImageNet,RadImageNet,fold2,knee,0.5667972204565339,0.3569794453377312,0.34794974574412196,0.3208395202145441,0.27858651813562163
ImageNet,RadImageNet,fold3,knee,0.5651937389117123,0.3583380342436415,0.34851005858415307,0.3284163294645923,0.290204562678798
ImageNet,RadImageNet,fold4,knee,0.5625648397879003,0.3553881298002765,0.35029853678378375,0.322137415120746,0.28529473742322026
ImageNet,RadImageNet,fold5,knee,0.5635567261804219,0.3626605768461727,0.3489869760261545,0.3267636955094454,0.2916007502596916
knee-ImageNet-freezeFalse,random,fold1,knee,0.5341376150306226,0.31064528475618947,0.2597744568381037,0.21854019964623633,0.156923508499776
knee-ImageNet-freezeFalse,random,fold2,knee,0.5275976589950153,0.3075864848754056,0.25782884138604467,0.21822103215198402,0.1573124772569437
knee-ImageNet-freezeFalse,random,fold3,knee,0.5350058599818505,0.3114758708052053,0.257949814117249,0.21821574819948122,0.1511117325260512
knee-ImageNet-freezeFalse,random,fold4,knee,0.5305757046839897,0.3100374776494718,0.2600370271208727,0.21894048232713895,0.15374798828965178
knee-ImageNet-freezeFalse,random,fold5,knee,0.5366938340835834,0.3132842001936141,0.25894910444745634,0.2168095942987333,0.15145011288975255
knee-RadImageNet-freezeFalse,random,fold1,knee,0.5076712960190758,0.32477209932344164,0.26114692291146546,0.22580284925822253,0.19834746421007443
knee-RadImageNet-freezeFalse,random,fold2,knee,0.4992512246181892,0.32166458267451425,0.26417029325173835,0.22058688011560487,0.20118602844204014
knee-RadImageNet-freezeFalse,random,fold3,knee,0.5024620545546578,0.32620859049439865,0.269411374476941,0.23557439363781696,0.20988435513782902
knee-RadImageNet-freezeFalse,random,fold4,knee,0.5106911738041753,0.3296277640188075,0.2687883076372743,0.234560351541481,0.20254478187946362
knee-RadImageNet-freezeFalse,random,fold5,knee,0.503687120256258,0.3240953321936505,0.26732072401136,0.2310453827326072,0.20675453578379796
random,random,fold1,knee,0.5508448997429112,0.36108790423438364,0.35667106406982296,0.36631424482793934,0.3612343697598942
random,random,fold2,knee,0.5499035322208901,0.3579640501843626,0.35357527362827906,0.3628483516074327,0.3575533838911233
random,random,fold3,knee,0.5501450177937889,0.36586833977064476,0.363708765222905,0.36610379823910344,0.3679926004187511
random,random,fold4,knee,0.5520889337777072,0.36825754045523806,0.3683406986016569,0.364514243817459,0.3647606466026212
random,random,fold5,knee,0.5515650643031687,0.3679868719417558,0.3633286934241422,0.36405706852023134,0.3660528122884808
ImageNet,random,fold1,knee,0.5286310430927879,0.3055531769966883,0.2446427328801751,0.22452673672094808,0.1713973603126106
ImageNet,random,fold2,knee,0.5242040140851938,0.29871462878156485,0.24447227042603242,0.22235391728234305,0.16962576573341054
ImageNet,random,fold3,knee,0.5265381592195502,0.30183558748425277,0.2516076212957441,0.2266551681183114,0.1719380039161092
ImageNet,random,fold4,knee,0.5246591326718796,0.3066269819170532,0.2481543362547976,0.2248590512372909,0.16915277252857466
ImageNet,random,fold5,knee,0.523885661963094,0.30331129874291757,0.24808986459813714,0.22386043533618408,0.17019950338918485
RadImageNet,random,fold1,knee,0.5173248136704753,0.38876423967386775,0.4129915814747721,0.3716138615891387,0.572806274427729
RadImageNet,random,fold2,knee,0.5188495585725517,0.3831715044067829,0.41238189493226124,0.3769874777746537,0.5776282774633176
RadImageNet,random,fold3,knee,0.5201147924735755,0.38711310606198907,0.4190278619522515,0.3751806800947325,0.5793122174963647
RadImageNet,random,fold4,knee,0.5238627244122243,0.3856194298193191,0.41220219743301445,0.3706878949595624,0.5725633035511948
RadImageNet,random,fold5,knee,0.5224514614396705,0.3810339380187152,0.4104933274744618,0.3734046382355075,0.5904807584015563
knee-ImageNet-freezeFalse,knee-ImageNet-freezeTrue,fold1,knee,0.8867093750295172,0.8740613494016776,0.7809360263771925,0.6066633598957292,0.3028643294145384
knee-ImageNet-freezeFalse,knee-ImageNet-freezeTrue,fold2,knee,0.8849193900190633,0.8681132783191423,0.7563982015327666,0.5761995633121458,0.28033502362710444
knee-ImageNet-freezeFalse,knee-ImageNet-freezeTrue,fold3,knee,0.8899469182172177,0.8765343787918536,0.7822541763768053,0.6014626522695735,0.30013241605672003
knee-ImageNet-freezeFalse,knee-ImageNet-freezeTrue,fold4,knee,0.942999384822131,0.921405018423779,0.831190491737301,0.6635510166144652,0.34738256564354286
knee-ImageNet-freezeFalse,knee-ImageNet-freezeTrue,fold5,knee,0.890189649858193,0.8783720729420637,0.7838705107365509,0.5962364994725288,0.2929868772761382
knee-RadImageNet-freezeFalse,knee-RadImageNet-freezeTrue,fold1,knee,0.7487416326662832,0.4046585277485034,0.2734094918996817,0.2178116339417211,0.15125877432586313
