model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
mammograms-RadImageNet-freezeFalse,RadImageNet,fold1,mammograms,0.9731659514533486,0.611857845899009,0.5475226183998039,0.3688905838001927,0.3260442564479135
mammograms-RadImageNet-freezeFalse,RadImageNet,fold2,mammograms,0.9713357462211976,0.6115790688943361,0.5399925896757242,0.3674472422198546,0.329650973327358
mammograms-RadImageNet-freezeFalse,RadImageNet,fold3,mammograms,0.9498341881579812,0.5549342836569074,0.48230953925277,0.30541121016601613,0.27049948834492754
mammograms-RadImageNet-freezeFalse,RadImageNet,fold4,mammograms,0.9463237832702263,0.5757473482362763,0.4830729971891213,0.29688167271016636,0.2854119626956936
mammograms-RadImageNet-freezeFalse,RadImageNet,fold5,mammograms,0.9509909136130655,0.5585742108468816,0.4799995918615787,0.29235204055721975,0.2614094625239462
mammograms-ImageNet-freezeFalse,ImageNet,fold1,mammograms,0.8915306085805744,0.7674425048511709,0.5940428961179438,0.41780901307601387,0.23870464444402367
mammograms-ImageNet-freezeFalse,ImageNet,fold2,mammograms,0.9000406433950419,0.7798730723672348,0.603081674917307,0.43927107315696245,0.2502824277897379
mammograms-ImageNet-freezeFalse,ImageNet,fold3,mammograms,0.9482222019049242,0.8867131743662805,0.7668886837372573,0.6393207157951261,0.44753193300810457
mammograms-ImageNet-freezeFalse,ImageNet,fold4,mammograms,0.8908127152814733,0.755590934210882,0.5950281835146269,0.430036472322149,0.24932458215140488
mammograms-ImageNet-freezeFalse,ImageNet,fold5,mammograms,0.9036685803880851,0.7734473367726227,0.5976083949629288,0.43816273284778584,0.25537873559692875
mammograms-ImageNet-freezeFalse,mammograms-RadImageNet-freezeFalse,fold1,mammograms,0.6432418824503572,0.4655767801895042,0.40673230163618107,0.3034161199184562,0.1854148690606517
mammograms-ImageNet-freezeFalse,mammograms-RadImageNet-freezeFalse,fold2,mammograms,0.6308383186532054,0.46905522242592446,0.3967052281733129,0.3005971416166826,0.18207434454410845
mammograms-ImageNet-freezeFalse,mammograms-RadImageNet-freezeFalse,fold3,mammograms,0.6468434670339823,0.4708554113857136,0.4104073757214216,0.2825212408055127,0.17798447995659433
mammograms-ImageNet-freezeFalse,mammograms-RadImageNet-freezeFalse,fold4,mammograms,0.6500123152698692,0.4720542269164585,0.39954131677546273,0.27778992491824395,0.1729070559197699
mammograms-ImageNet-freezeFalse,mammograms-RadImageNet-freezeFalse,fold5,mammograms,0.6593686479114007,0.4597438421153453,0.3931243359627087,0.2686211168361458,0.1639879701243024
ImageNet,RadImageNet,fold1,mammograms,0.64490208758803,0.4917372209837703,0.4706884989550956,0.30922106875948885,0.23288920994894485
ImageNet,RadImageNet,fold2,mammograms,0.6617030772563576,0.49395732883774757,0.4704395835014633,0.31134706670371876,0.23197931471189856
ImageNet,RadImageNet,fold3,mammograms,0.6578943462158484,0.49371842287298734,0.46934451587630155,0.309588667287882,0.24065677685835557
ImageNet,RadImageNet,fold4,mammograms,0.636262287087035,0.4966230637302015,0.4709109032339004,0.3096395538482197,0.24580322770486246
ImageNet,RadImageNet,fold5,mammograms,0.6305712641865117,0.48323286104420937,0.4660944095448564,0.3047182077802777,0.23744197350607257
mammograms-ImageNet-freezeFalse,random,fold1,mammograms,0.6034544759621403,0.41400412569921424,0.3608680030723414,0.26510691861075814,0.20509200098125016
mammograms-ImageNet-freezeFalse,random,fold2,mammograms,0.6051227156764541,0.4349128097473255,0.3624722976081919,0.26355977442720474,0.19640859817670214
mammograms-ImageNet-freezeFalse,random,fold3,mammograms,0.6142775413920073,0.4415152244635953,0.36513714848766,0.2676727494657543,0.1934390272493859
mammograms-ImageNet-freezeFalse,random,fold4,mammograms,0.5997653621612551,0.4336078429853182,0.36868817645212637,0.26533284227140763,0.20468580772101658
mammograms-ImageNet-freezeFalse,random,fold5,mammograms,0.6218673233240681,0.4216074114878669,0.3589878398704216,0.26358004784608136,0.199560317449335
mammograms-RadImageNet-freezeFalse,random,fold1,mammograms,0.6007632819473049,0.48837263106969997,0.41568910038654233,0.34622399042418733,0.2615763187474932
mammograms-RadImageNet-freezeFalse,random,fold2,mammograms,0.6203409267638303,0.48523571606008015,0.4182190279652557,0.34207069253302314,0.2612749450824997
mammograms-RadImageNet-freezeFalse,random,fold3,mammograms,0.616611327725813,0.4687965795284552,0.38306240796485624,0.2927731136740669,0.2141652960299248
mammograms-RadImageNet-freezeFalse,random,fold4,mammograms,0.6038562758209701,0.4603499609486061,0.38217880132857135,0.2991478145088826,0.2168971542146949
mammograms-RadImageNet-freezeFalse,random,fold5,mammograms,0.6260478480623017,0.46944007012909283,0.38401832390599827,0.2895097522047497,0.2045660540705662
random,random,fold1,mammograms,0.6035122485011475,0.48716160168726097,0.4618699783725214,0.44550002482705786,0.4324124472528325
random,random,fold2,mammograms,0.6261274865725636,0.4815802698768753,0.459035873843851,0.4445890771614322,0.4342771992920061
random,random,fold3,mammograms,0.6192816241743067,0.4779129086286087,0.4599058551599807,0.4465077509233618,0.43373531667529813
random,random,fold4,mammograms,0.6087843916501885,0.481595949675902,0.45858611254597753,0.4441000326104453,0.43193740647303647
