model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
thyroid-RadImageNet-freezeFalse,RadImageNet,fold1,thyroid,0.7841928903457202,0.5455721356192431,0.4715475027883923,0.386395327000398,0.3147400594465851
thyroid-RadImageNet-freezeFalse,RadImageNet,fold2,thyroid,0.7970691691221434,0.5559580905376454,0.47429468668351876,0.3710666915328561,0.30530485006999025
thyroid-RadImageNet-freezeFalse,RadImageNet,fold3,thyroid,0.8231284420306169,0.5709666426754824,0.4941435153473357,0.4669766637264371,0.4053643599917237
thyroid-RadImageNet-freezeFalse,RadImageNet,fold4,thyroid,0.7976738885185757,0.5406865741282505,0.4705644291916527,0.380195083001015,0.31464237635116143
thyroid-RadImageNet-freezeFalse,RadImageNet,fold5,thyroid,0.7884130900697607,0.5447271500718183,0.4794113894260604,0.3809522612801478,0.3139750171546264
thyroid-ImageNet-freezeFalse,ImageNet,fold1,thyroid,0.86922696876042,0.8624915918737237,0.7685195796766746,0.5735820381066777,0.3271630755566397
thyroid-ImageNet-freezeFalse,ImageNet,fold2,thyroid,0.9548875738759535,0.9674886623427689,0.9309315518141659,0.8312924210019975,0.6076119943228597
thyroid-ImageNet-freezeFalse,ImageNet,fold3,thyroid,0.9522282845831231,0.9663180126695913,0.9277410371960807,0.8426641333374179,0.6230062378189227
thyroid-ImageNet-freezeFalse,ImageNet,fold4,thyroid,0.9943994675654866,0.9950230287001594,0.9895623829738571,0.971339168713888,0.9022280447967741
thyroid-ImageNet-freezeFalse,ImageNet,fold5,thyroid,0.981911186363462,0.9851581456357928,0.9697914404241642,0.9184927763508384,0.7747769967890483
thyroid-ImageNet-freezeFalse,thyroid-RadImageNet-freezeFalse,fold1,thyroid,0.583902943688115,0.38200125130842577,0.2967022145661713,0.22144057221529936,0.1763410794299441
thyroid-ImageNet-freezeFalse,thyroid-RadImageNet-freezeFalse,fold2,thyroid,0.5726370781541148,0.37899227088404164,0.30111121176827255,0.22781889028968044,0.18800233086927595
thyroid-ImageNet-freezeFalse,thyroid-RadImageNet-freezeFalse,fold3,thyroid,0.569919925137647,0.3692184419796756,0.294563486764922,0.2529034695211573,0.19316938429164962
thyroid-ImageNet-freezeFalse,thyroid-RadImageNet-freezeFalse,fold4,thyroid,0.5708570433382609,0.37417784693323475,0.3017625499481639,0.23779603073919003,0.18686516661222785
thyroid-ImageNet-freezeFalse,thyroid-RadImageNet-freezeFalse,fold5,thyroid,0.5712847479063952,0.38019542969244075,0.304136103086334,0.23672945749536325,0.19045976858065733
ImageNet,RadImageNet,fold1,thyroid,0.575892630964262,0.3979876275885525,0.41328762115100554,0.363781310101817,0.3393519596114828
ImageNet,RadImageNet,fold2,thyroid,0.5738318609532371,0.40465700455997433,0.42545279982200396,0.36136852927809676,0.3428678646750695
ImageNet,RadImageNet,fold3,thyroid,0.5781697358432186,0.406077741523604,0.41048342848555064,0.36379705712086696,0.34590739944459936
ImageNet,RadImageNet,fold4,thyroid,0.5834046139480502,0.40558762894730993,0.4210108944623558,0.36982420824322676,0.3457228717536865
ImageNet,RadImageNet,fold5,thyroid,0.5714386585538538,0.40184510247879146,0.4154422467198793,0.36575135353694893,0.3565340499041384
thyroid-ImageNet-freezeFalse,random,fold1,thyroid,0.5451920402623642,0.3408104390800072,0.32017333357277356,0.2727645594296658,0.22371784193624972
thyroid-ImageNet-freezeFalse,random,fold2,thyroid,0.5365855932961351,0.3493284007858639,0.3172682874874718,0.2831574188267356,0.25215763625317245
thyroid-ImageNet-freezeFalse,random,fold3,thyroid,0.5456968103736701,0.34561505141438414,0.31443325773012804,0.28448396455917824,0.24166049071475468
thyroid-ImageNet-freezeFalse,random,fold4,thyroid,0.5399301101632202,0.3478012720350752,0.32086301030846676,0.28966321595550626,0.24620031783766222
thyroid-ImageNet-freezeFalse,random,fold5,thyroid,0.5373841702543943,0.350237665713084,0.32811717963686643,0.28854663501221683,0.24890354491749472
thyroid-RadImageNet-freezeFalse,random,fold1,thyroid,0.5202530492835769,0.3730710920371795,0.30656291667532354,0.2512129962992312,0.2039183315046839
thyroid-RadImageNet-freezeFalse,random,fold2,thyroid,0.519392576790264,0.3799563837961176,0.30403662255041164,0.2462326422286521,0.19852513272059008
thyroid-RadImageNet-freezeFalse,random,fold3,thyroid,0.5271586195166322,0.38036965415667484,0.30703710594209194,0.2637880693458191,0.2189039459686489
thyroid-RadImageNet-freezeFalse,random,fold4,thyroid,0.5179869516308234,0.3664979266953773,0.30231044335641716,0.24910072374040748,0.2018727294857912
thyroid-RadImageNet-freezeFalse,random,fold5,thyroid,0.5173045284576014,0.36546863110350847,0.3038162623487063,0.2533267830845715,0.2041208859010887
random,random,fold1,thyroid,0.5611984099615983,0.41431858306765434,0.43585913113928587,0.43129776983705626,0.43873054001403355
random,random,fold2,thyroid,0.5625776528658941,0.417948341752936,0.43600621650824917,0.43277013756355,0.4401808900071815
random,random,fold3,thyroid,0.5567856390602938,0.4160085954278056,0.43396908615215884,0.43373794107151536,0.43887917875928395
random,random,fold4,thyroid,0.5554897905773624,0.4156738529170171,0.4359638731286221,0.43365344722591875,0.43788864098837177
random,random,fold5,thyroid,0.5615281246565619,0.4193331587206289,0.43387780817269306,0.4325004572510537,0.4403062918199135
ImageNet,random,fold1,thyroid,0.5481605999938819,0.3470275451270192,0.3226269360074141,0.29555761998242774,0.23354106490273724
ImageNet,random,fold2,thyroid,0.5360089326483467,0.3456695412375111,0.3175755715140751,0.2935029614131483,0.233387873417879
ImageNet,random,fold3,thyroid,0.5469957956078206,0.3545007249846802,0.31906007241269563,0.2919782578115839,0.2344567107130616
ImageNet,random,fold4,thyroid,0.5466179797902452,0.35887126733198266,0.31767919078951073,0.29244494424729706,0.23713225636576102
ImageNet,random,fold5,thyroid,0.544649326463546,0.345061258208424,0.32880293955395584,0.2923175872150997,0.23750328071312737
RadImageNet,random,fold1,thyroid,0.5415377937771332,0.44897839327712263,0.485832255752372,0.4065777184408185,0.5377323350712222
RadImageNet,random,fold2,thyroid,0.5442965718682791,0.4539401807117384,0.48920724359347395,0.4080966084821688,0.5469094532025732
