model1,model2,fold,stimuli,conv1,block1,block2,block3,block4
breast-RadImageNet-freezeFalse,RadImageNet,fold1,breast,0.7105633383832106,0.37536158293461874,0.2807515201390237,0.21674052388344706,0.1952448386057361
breast-RadImageNet-freezeFalse,RadImageNet,fold2,breast,0.6993625617369703,0.3852560049269769,0.27722263073155057,0.20543862522576556,0.19221712889634696
breast-RadImageNet-freezeFalse,RadImageNet,fold3,breast,0.6841714296316139,0.3799201778893056,0.27741500181156414,0.2188932574452708,0.20167456140840817
breast-RadImageNet-freezeFalse,RadImageNet,fold4,breast,0.7055657111966471,0.38590225090439845,0.279293990079059,0.2187512006123625,0.20355002235687655
breast-RadImageNet-freezeFalse,RadImageNet,fold5,breast,0.685817117405365,0.37615708198597364,0.27453266525463293,0.21798260111843656,0.20130318699040123
isic-RadImageNet-freezeFalse,RadImageNet,fold1,isic,0.6258317223530773,0.4623601232422786,0.3382627504419167,0.2819636712201429,0.2927385468724107
isic-RadImageNet-freezeFalse,RadImageNet,fold2,isic,0.6535745606563241,0.4707553723115393,0.34120909582168146,0.28064738598885375,0.33489938445092143
isic-RadImageNet-freezeFalse,RadImageNet,fold3,isic,0.6170064424693914,0.4511156508475572,0.34514439096095334,0.27673789834653206,0.32689517288813696
isic-RadImageNet-freezeFalse,RadImageNet,fold4,isic,0.6270228153232258,0.4604351109025265,0.3435899089017401,0.2786122758910086,0.3356551794147048
isic-RadImageNet-freezeFalse,RadImageNet,fold5,isic,0.6257257407093603,0.4621831506585131,0.3442716156133502,0.28519882644114747,0.32360028598184076
pcam-small-RadImageNet-freezeFalse,RadImageNet,fold1,pcam-small,0.7189754652773266,0.39926966730462776,0.300544574461755,0.2662211051710385,0.27642760891205653
pcam-small-RadImageNet-freezeFalse,RadImageNet,fold2,pcam-small,0.7217228255578376,0.41447320149501604,0.3035662804072021,0.25167863410493135,0.2752194809681569
pcam-small-RadImageNet-freezeFalse,RadImageNet,fold3,pcam-small,0.7082264950796708,0.41446826659317787,0.30478825203059373,0.2556821564895852,0.2716737506085877
pcam-small-RadImageNet-freezeFalse,RadImageNet,fold4,pcam-small,0.7033880706855722,0.4081274389446448,0.3017969575848438,0.24281558933102093,0.272382482997563
pcam-small-RadImageNet-freezeFalse,RadImageNet,fold5,pcam-small,0.6931936822150206,0.4080846841926934,0.3057707137581383,0.25437023039027207,0.29040295934175875
chest-RadImageNet-freezeFalse,RadImageNet,fold1,chest,0.8502624521413142,0.41058079664390945,0.3348926620730367,0.3365961827368608,0.35183100477310264
chest-RadImageNet-freezeFalse,RadImageNet,fold2,chest,0.8588509838520444,0.42642190554168985,0.32924212914945994,0.33370124008239005,0.3490096127957067
chest-RadImageNet-freezeFalse,RadImageNet,fold3,chest,0.8411335511424053,0.42074443660477295,0.32687270458310863,0.33573973431567744,0.34099515525096935
chest-RadImageNet-freezeFalse,RadImageNet,fold4,chest,0.8588371802927874,0.4222900644361701,0.329457923623589,0.3397476866793033,0.3333006228676172
chest-RadImageNet-freezeFalse,RadImageNet,fold5,chest,0.8499857123560538,0.4223298465609776,0.3264454136041718,0.3359925073692812,0.3451000312277332
thyroid-RadImageNet-freezeFalse,RadImageNet,fold1,thyroid,0.7841928903457202,0.5455721356192431,0.4715475027883923,0.386395327000398,0.3147400594465851
thyroid-RadImageNet-freezeFalse,RadImageNet,fold2,thyroid,0.7970691691221434,0.5559580905376454,0.47429468668351876,0.3710666915328561,0.30530485006999025
thyroid-RadImageNet-freezeFalse,RadImageNet,fold3,thyroid,0.8231284420306169,0.5709666426754824,0.4941435153473357,0.4669766637264371,0.4053643599917237
thyroid-RadImageNet-freezeFalse,RadImageNet,fold4,thyroid,0.7976738885185757,0.5406865741282505,0.4705644291916527,0.380195083001015,0.31464237635116143
thyroid-RadImageNet-freezeFalse,RadImageNet,fold5,thyroid,0.7884130900697607,0.5447271500718183,0.4794113894260604,0.3809522612801478,0.3139750171546264
knee-RadImageNet-freezeFalse,RadImageNet,fold1,knee,0.6768949097793748,0.3940414117647286,0.32841754699831616,0.32049171298364565,0.3718266138447065
knee-RadImageNet-freezeFalse,RadImageNet,fold2,knee,0.6645059333480956,0.39712441366081197,0.33552555626011155,0.32643487935440707,0.37727748720096077
knee-RadImageNet-freezeFalse,RadImageNet,fold3,knee,0.6666623832238472,0.3952014607583806,0.33752437145663305,0.33108038034355813,0.408742071392605
knee-RadImageNet-freezeFalse,RadImageNet,fold4,knee,0.6572014274310781,0.4000538248032347,0.3408218268856704,0.3305339750399264,0.39014569784752806
knee-RadImageNet-freezeFalse,RadImageNet,fold5,knee,0.662467850624763,0.3986198168859086,0.337275985606735,0.32676254588873876,0.4169836064836628
mammograms-RadImageNet-freezeFalse,RadImageNet,fold1,mammograms,0.9731659514533486,0.611857845899009,0.5475226183998039,0.3688905838001927,0.3260442564479135
mammograms-RadImageNet-freezeFalse,RadImageNet,fold2,mammograms,0.9713357462211976,0.6115790688943361,0.5399925896757242,0.3674472422198546,0.329650973327358
mammograms-RadImageNet-freezeFalse,RadImageNet,fold3,mammograms,0.9498341881579812,0.5549342836569074,0.48230953925277,0.30541121016601613,0.27049948834492754
mammograms-RadImageNet-freezeFalse,RadImageNet,fold4,mammograms,0.9463237832702263,0.5757473482362763,0.4830729971891213,0.29688167271016636,0.2854119626956936
mammograms-RadImageNet-freezeFalse,RadImageNet,fold5,mammograms,0.9509909136130655,0.5585742108468816,0.4799995918615787,0.29235204055721975,0.2614094625239462
