target,model1,model2,freeze,fold,prob,value
isic,ImageNet,RadImageNet,freezeFalse,fold1,real,0.8273273273273273
isic,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.6599697920475336
isic,ImageNet,RadImageNet,freezeFalse,fold2,real,0.8534267133566783
isic,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.6399442756638791
isic,ImageNet,RadImageNet,freezeFalse,fold3,real,0.8342486270594108
isic,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.6698900849384799
isic,ImageNet,RadImageNet,freezeFalse,fold4,real,0.8340829585207397
isic,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.6707828164139471
isic,ImageNet,RadImageNet,freezeFalse,fold5,real,0.869
isic,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.6538074954795832
isic,ImageNet,RadImageNet,freezeTrue,fold1,real,0.8458458458458459
isic,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.6648655759317492
isic,ImageNet,RadImageNet,freezeTrue,fold2,real,0.8489244622311155
isic,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.6373749716455279
isic,ImageNet,RadImageNet,freezeTrue,fold3,real,0.8422366450324513
isic,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.657798388328878
isic,ImageNet,RadImageNet,freezeTrue,fold4,real,0.8405797101449275
isic,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.6678679682277888
isic,ImageNet,RadImageNet,freezeTrue,fold5,real,0.829
isic,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.6346559965791698
pcam-small,ImageNet,RadImageNet,freezeFalse,fold1,real,0.8613613613613613
pcam-small,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.6901110267371138
pcam-small,ImageNet,RadImageNet,freezeFalse,fold2,real,0.8334169593577522
pcam-small,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.7053963661191176
pcam-small,ImageNet,RadImageNet,freezeFalse,fold3,real,0.8001002004008017
pcam-small,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.6584009591847035
pcam-small,ImageNet,RadImageNet,freezeFalse,fold4,real,0.8407611417125689
pcam-small,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.6982133239550308
pcam-small,ImageNet,RadImageNet,freezeFalse,fold5,real,0.8345035105315948
pcam-small,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.6870641769893382
pcam-small,ImageNet,RadImageNet,freezeTrue,fold1,real,0.8293293293293293
pcam-small,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.6864767647420251
pcam-small,ImageNet,RadImageNet,freezeTrue,fold2,real,0.8439538384345209
pcam-small,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.6817483878983808
pcam-small,ImageNet,RadImageNet,freezeTrue,fold3,real,0.7990981963927856
pcam-small,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.6711127444968952
pcam-small,ImageNet,RadImageNet,freezeTrue,fold4,real,0.8027040560841262
pcam-small,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.6713969510294788
pcam-small,ImageNet,RadImageNet,freezeTrue,fold5,real,0.8345035105315948
pcam-small,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.6645533429885049
chest,ImageNet,RadImageNet,freezeFalse,fold1,real,0.9462457337883959
chest,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.9136463038258924
chest,ImageNet,RadImageNet,freezeFalse,fold2,real,0.9513236549957301
chest,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.9245208987108811
chest,ImageNet,RadImageNet,freezeFalse,fold3,real,0.955593509820666
chest,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.9229486283799773
chest,ImageNet,RadImageNet,freezeFalse,fold4,real,0.9675491033304867
chest,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.9356086884913069
chest,ImageNet,RadImageNet,freezeFalse,fold5,real,0.9513236549957301
chest,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.9043085858285167
chest,ImageNet,RadImageNet,freezeTrue,fold1,real,0.9530716723549488
chest,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.9293134228976498
chest,ImageNet,RadImageNet,freezeTrue,fold2,real,0.9453458582408198
chest,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.9182492101280744
chest,ImageNet,RadImageNet,freezeTrue,fold3,real,0.9538855678906917
chest,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.9073860351504948
chest,ImageNet,RadImageNet,freezeTrue,fold4,real,0.9436379163108455
chest,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.9073860351504948
chest,ImageNet,RadImageNet,freezeTrue,fold5,real,0.9359521776259607
chest,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.8860886004156967
breast,ImageNet,RadImageNet,freezeFalse,fold1,real,0.8782051282051282
breast,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.7670118678250972
breast,ImageNet,RadImageNet,freezeFalse,fold2,real,0.7564102564102564
breast,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.795857952896661
breast,ImageNet,RadImageNet,freezeFalse,fold3,real,0.782051282051282
breast,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.6973208741950501
breast,ImageNet,RadImageNet,freezeFalse,fold4,real,0.8205128205128205
breast,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.689349089853863
breast,ImageNet,RadImageNet,freezeFalse,fold5,real,0.8782051282051282
breast,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.748602884212346
breast,ImageNet,RadImageNet,freezeTrue,fold1,real,0.8846153846153846
breast,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.7396449831110488
