,path,class
0,../../../data/kimia_path_960/S10.tif,S
1,../../../data/kimia_path_960/O3.tif,O
2,../../../data/kimia_path_960/C43.tif,C
4,../../../data/kimia_path_960/R23.tif,R
5,../../../data/kimia_path_960/G36.tif,G
6,../../../data/kimia_path_960/O13.tif,O
7,../../../data/kimia_path_960/S24.tif,S
9,../../../data/kimia_path_960/A7.tif,A
10,../../../data/kimia_path_960/L3.tif,L
11,../../../data/kimia_path_960/F24.tif,F
12,../../../data/kimia_path_960/C3.tif,C
14,../../../data/kimia_path_960/S19.tif,S
15,../../../data/kimia_path_960/K28.tif,K
17,../../../data/kimia_path_960/P9.tif,P
18,../../../data/kimia_path_960/A14.tif,A
19,../../../data/kimia_path_960/M9.tif,M
20,../../../data/kimia_path_960/F3.tif,F
21,../../../data/kimia_path_960/G10.tif,G
22,../../../data/kimia_path_960/K36.tif,K
23,../../../data/kimia_path_960/O18.tif,O
24,../../../data/kimia_path_960/N40.tif,N
25,../../../data/kimia_path_960/D12.tif,D
26,../../../data/kimia_path_960/T37.tif,T
27,../../../data/kimia_path_960/E39.tif,E
28,../../../data/kimia_path_960/B11.tif,B
29,../../../data/kimia_path_960/S48.tif,S
31,../../../data/kimia_path_960/T8.tif,T
33,../../../data/kimia_path_960/T27.tif,T
34,../../../data/kimia_path_960/E9.tif,E
35,../../../data/kimia_path_960/N25.tif,N
36,../../../data/kimia_path_960/R19.tif,R
37,../../../data/kimia_path_960/E7.tif,E
38,../../../data/kimia_path_960/R14.tif,R
39,../../../data/kimia_path_960/M10.tif,M
41,../../../data/kimia_path_960/H17.tif,H
42,../../../data/kimia_path_960/G16.tif,G
43,../../../data/kimia_path_960/R40.tif,R
45,../../../data/kimia_path_960/J20.tif,J
46,../../../data/kimia_path_960/T48.tif,T
47,../../../data/kimia_path_960/A47.tif,A
48,../../../data/kimia_path_960/L18.tif,L
49,../../../data/kimia_path_960/C40.tif,C
51,../../../data/kimia_path_960/S37.tif,S
52,../../../data/kimia_path_960/R33.tif,R
53,../../../data/kimia_path_960/F14.tif,F
54,../../../data/kimia_path_960/S32.tif,S
55,../../../data/kimia_path_960/L46.tif,L
58,../../../data/kimia_path_960/H14.tif,H
60,../../../data/kimia_path_960/A22.tif,A
61,../../../data/kimia_path_960/P32.tif,P
62,../../../data/kimia_path_960/G37.tif,G
63,../../../data/kimia_path_960/M3.tif,M
64,../../../data/kimia_path_960/D4.tif,D
65,../../../data/kimia_path_960/Q38.tif,Q
66,../../../data/kimia_path_960/D37.tif,D
67,../../../data/kimia_path_960/F39.tif,F
68,../../../data/kimia_path_960/B31.tif,B
69,../../../data/kimia_path_960/B24.tif,B
70,../../../data/kimia_path_960/N6.tif,N
71,../../../data/kimia_path_960/N47.tif,N
72,../../../data/kimia_path_960/A36.tif,A
73,../../../data/kimia_path_960/E13.tif,E
74,../../../data/kimia_path_960/A32.tif,A
75,../../../data/kimia_path_960/D21.tif,D
77,../../../data/kimia_path_960/P16.tif,P
78,../../../data/kimia_path_960/G46.tif,G
79,../../../data/kimia_path_960/R38.tif,R
80,../../../data/kimia_path_960/P12.tif,P
81,../../../data/kimia_path_960/E40.tif,E
82,../../../data/kimia_path_960/I21.tif,I
83,../../../data/kimia_path_960/N35.tif,N
84,../../../data/kimia_path_960/E28.tif,E
86,../../../data/kimia_path_960/E12.tif,E
87,../../../data/kimia_path_960/N44.tif,N
88,../../../data/kimia_path_960/A23.tif,A
89,../../../data/kimia_path_960/C11.tif,C
90,../../../data/kimia_path_960/P25.tif,P
92,../../../data/kimia_path_960/G7.tif,G
93,../../../data/kimia_path_960/L19.tif,L
95,../../../data/kimia_path_960/O20.tif,O
96,../../../data/kimia_path_960/Q3.tif,Q
97,../../../data/kimia_path_960/I10.tif,I
99,../../../data/kimia_path_960/C36.tif,C
100,../../../data/kimia_path_960/T7.tif,T
101,../../../data/kimia_path_960/Q32.tif,Q
102,../../../data/kimia_path_960/A44.tif,A
103,../../../data/kimia_path_960/M42.tif,M
104,../../../data/kimia_path_960/N45.tif,N
105,../../../data/kimia_path_960/C18.tif,C
106,../../../data/kimia_path_960/I19.tif,I
107,../../../data/kimia_path_960/B22.tif,B
110,../../../data/kimia_path_960/B14.tif,B
111,../../../data/kimia_path_960/E1.tif,E
112,../../../data/kimia_path_960/G24.tif,G
114,../../../data/kimia_path_960/J19.tif,J
115,../../../data/kimia_path_960/R36.tif,R
116,../../../data/kimia_path_960/T16.tif,T
117,../../../data/kimia_path_960/F47.tif,F
118,../../../data/kimia_path_960/P36.tif,P
119,../../../data/kimia_path_960/R47.tif,R
120,../../../data/kimia_path_960/G48.tif,G
121,../../../data/kimia_path_960/F5.tif,F
122,../../../data/kimia_path_960/R18.tif,R
123,../../../data/kimia_path_960/D46.tif,D
124,../../../data/kimia_path_960/B19.tif,B
125,../../../data/kimia_path_960/A42.tif,A
126,../../../data/kimia_path_960/D2.tif,D
127,../../../data/kimia_path_960/A27.tif,A
129,../../../data/kimia_path_960/A3.tif,A
130,../../../data/kimia_path_960/H24.tif,H
131,../../../data/kimia_path_960/C23.tif,C
132,../../../data/kimia_path_960/B17.tif,B
133,../../../data/kimia_path_960/G22.tif,G
134,../../../data/kimia_path_960/H48.tif,H
135,../../../data/kimia_path_960/T1.tif,T
136,../../../data/kimia_path_960/S25.tif,S
137,../../../data/kimia_path_960/T31.tif,T
138,../../../data/kimia_path_960/S36.tif,S
140,../../../data/kimia_path_960/C2.tif,C
141,../../../data/kimia_path_960/D39.tif,D
142,../../../data/kimia_path_960/I8.tif,I
143,../../../data/kimia_path_960/P3.tif,P
144,../../../data/kimia_path_960/M16.tif,M
145,../../../data/kimia_path_960/K45.tif,K
146,../../../data/kimia_path_960/J22.tif,J
147,../../../data/kimia_path_960/I7.tif,I
149,../../../data/kimia_path_960/P43.tif,P
150,../../../data/kimia_path_960/L40.tif,L
151,../../../data/kimia_path_960/P21.tif,P
153,../../../data/kimia_path_960/N42.tif,N
155,../../../data/kimia_path_960/P29.tif,P
156,../../../data/kimia_path_960/F34.tif,F
157,../../../data/kimia_path_960/J1.tif,J
158,../../../data/kimia_path_960/O38.tif,O
160,../../../data/kimia_path_960/G14.tif,G
162,../../../data/kimia_path_960/F41.tif,F
163,../../../data/kimia_path_960/G28.tif,G
164,../../../data/kimia_path_960/T10.tif,T
165,../../../data/kimia_path_960/K19.tif,K
166,../../../data/kimia_path_960/T47.tif,T
168,../../../data/kimia_path_960/K48.tif,K
170,../../../data/kimia_path_960/H26.tif,H
172,../../../data/kimia_path_960/N48.tif,N
175,../../../data/kimia_path_960/R46.tif,R
176,../../../data/kimia_path_960/S40.tif,S
177,../../../data/kimia_path_960/M37.tif,M
179,../../../data/kimia_path_960/Q18.tif,Q
180,../../../data/kimia_path_960/J29.tif,J
181,../../../data/kimia_path_960/D22.tif,D
182,../../../data/kimia_path_960/E34.tif,E
183,../../../data/kimia_path_960/I5.tif,I
185,../../../data/kimia_path_960/L23.tif,L
186,../../../data/kimia_path_960/F4.tif,F
187,../../../data/kimia_path_960/R16.tif,R
188,../../../data/kimia_path_960/E38.tif,E
189,../../../data/kimia_path_960/L6.tif,L
192,../../../data/kimia_path_960/J2.tif,J
193,../../../data/kimia_path_960/C4.tif,C
194,../../../data/kimia_path_960/S17.tif,S
195,../../../data/kimia_path_960/I20.tif,I
198,../../../data/kimia_path_960/F6.tif,F
199,../../../data/kimia_path_960/P17.tif,P
200,../../../data/kimia_path_960/K1.tif,K
201,../../../data/kimia_path_960/A24.tif,A
202,../../../data/kimia_path_960/A30.tif,A
206,../../../data/kimia_path_960/D25.tif,D
207,../../../data/kimia_path_960/N14.tif,N
208,../../../data/kimia_path_960/J47.tif,J
210,../../../data/kimia_path_960/M33.tif,M
211,../../../data/kimia_path_960/Q36.tif,Q
212,../../../data/kimia_path_960/P42.tif,P
213,../../../data/kimia_path_960/P45.tif,P
216,../../../data/kimia_path_960/M15.tif,M
218,../../../data/kimia_path_960/K12.tif,K
219,../../../data/kimia_path_960/M40.tif,M
220,../../../data/kimia_path_960/A37.tif,A
221,../../../data/kimia_path_960/K23.tif,K
222,../../../data/kimia_path_960/H18.tif,H
223,../../../data/kimia_path_960/R39.tif,R
224,../../../data/kimia_path_960/O24.tif,O
225,../../../data/kimia_path_960/I18.tif,I
226,../../../data/kimia_path_960/Q48.tif,Q
228,../../../data/kimia_path_960/N23.tif,N
229,../../../data/kimia_path_960/G41.tif,G
230,../../../data/kimia_path_960/M36.tif,M
231,../../../data/kimia_path_960/S31.tif,S
232,../../../data/kimia_path_960/C26.tif,C
234,../../../data/kimia_path_960/I13.tif,I
235,../../../data/kimia_path_960/L20.tif,L
237,../../../data/kimia_path_960/M31.tif,M
